,Borough,hour_of_day,day_of_week,minutes_per_mile,traffic
1324,Bronx,15,Wednesday,6.134751773049646,143690
1325,Bronx,18,Thursday,5.655769654447777,147420
1326,Bronx,20,Thursday,4.979296066252588,127670
1327,Bronx,21,Monday,4.54828660436137,93510
1328,Bronx,22,Sunday,4.467592592592593,115840
1440,Brooklyn,0,Saturday,4.881148596110764,297360
1441,Brooklyn,2,Tuesday,4.359923832020681,47880
1442,Brooklyn,3,Saturday,4.4754723320306065,118100
1443,Brooklyn,3,Thursday,4.319197392899444,43380
1444,Brooklyn,3,Tuesday,4.279439696106364,35270
1445,Brooklyn,3,Wednesday,4.317931793179318,38710
1446,Brooklyn,4,Friday,4.282407407407407,44990
1447,Brooklyn,5,Friday,4.333109218586583,61060
1448,Brooklyn,6,Thursday,4.801787703196155,107180
1449,Brooklyn,7,Monday,5.555555555555555,174600
1450,Brooklyn,8,Tuesday,6.105137395459977,236310
1451,Brooklyn,10,Monday,5.8544303797468356,206430
1452,Brooklyn,10,Wednesday,6.0,227290
1453,Brooklyn,12,Saturday,5.792079207920792,264700
1454,Brooklyn,13,Friday,6.42578125,254210
1455,Brooklyn,13,Saturday,5.927672955974843,276420
1456,Brooklyn,17,Friday,6.676891615541923,352350
1457,Brooklyn,17,Monday,6.452074391988555,268830
1458,Brooklyn,18,Monday,6.056547619047619,270210
1459,Brooklyn,19,Monday,5.653674689225147,251220
1460,Brooklyn,22,Monday,4.9155632036399695,193080
1636,Manhattan,0,Saturday,5.113871635610765,389950
1637,Manhattan,3,Sunday,4.487179487179487,170620
1638,Manhattan,4,Monday,3.967661691542288,28170
1639,Manhattan,4,Sunday,4.320066334991709,97790
1640,Manhattan,5,Saturday,4.04382470119522,54370
1641,Manhattan,5,Tuesday,3.9625420875420874,53360
1642,Manhattan,7,Thursday,5.275850609092265,270060
1643,Manhattan,9,Friday,6.240902397423538,328740
1644,Manhattan,9,Wednesday,6.565349544072949,358490
1645,Manhattan,10,Thursday,6.615120274914088,306570
1646,Manhattan,12,Friday,6.656976744186046,318630
1647,Manhattan,12,Wednesday,6.840277777777779,297330
1648,Manhattan,15,Tuesday,6.882030410943417,302830
1649,Manhattan,18,Thursday,6.67755991285403,473730
1650,Manhattan,19,Saturday,6.384131917971576,561200
1651,Manhattan,22,Monday,4.7645429362880884,235170
1652,Manhattan,23,Monday,4.520865533230293,167070
1777,Queens,0,Saturday,4.088142804291529,125700
1778,Queens,0,Tuesday,3.834586466165413,62350
1779,Queens,2,Friday,3.8349276508974004,42060
1780,Queens,2,Sunday,3.9593128057977416,89140
1781,Queens,3,Sunday,3.734567901234568,73930
1782,Queens,3,Tuesday,3.289838838419204,26480
1783,Queens,5,Sunday,3.1374897721550856,64820
1784,Queens,6,Monday,3.791477974731472,96520
1785,Queens,7,Tuesday,4.690082644628099,147990
1786,Queens,9,Friday,4.573170731707317,171510
1787,Queens,9,Saturday,4.361569121040487,142080
1788,Queens,10,Monday,4.509379509379509,134390
1789,Queens,12,Friday,4.87062404870624,157770
1790,Queens,15,Thursday,5.285714285714286,182130
1791,Queens,16,Monday,5.182696797317867,156980
1792,Queens,16,Saturday,4.9688473520249214,185690
1793,Queens,16,Sunday,4.646464646464646,157050
1794,Queens,18,Friday,5.22587096185227,215620
1795,Queens,18,Tuesday,5.102819297704638,161420
1796,Queens,19,Monday,4.6431170721563735,130720
1797,Queens,19,Thursday,4.84101481478873,162400
1798,Queens,20,Friday,4.718225419664269,183890
1799,Queens,20,Monday,4.466666666666667,114090
1800,Queens,21,Sunday,4.237336944677937,126340
1801,Queens,23,Friday,4.166666666666667,152340
1936,Staten Island,1,Tuesday,3.3905852417302795,2630
1937,Staten Island,2,Wednesday,3.268644280953279,1840
1938,Staten Island,4,Monday,3.155637254901961,2150
1939,Staten Island,4,Sunday,3.190305739290643,3380
1940,Staten Island,5,Saturday,3.114035087719298,4570
1941,Staten Island,5,Tuesday,3.129853098019912,4580
1942,Staten Island,6,Monday,3.28,8110
1943,Staten Island,6,Tuesday,3.2960704607046067,8650
1944,Staten Island,7,Saturday,3.275193798449613,10070
1945,Staten Island,10,Sunday,3.611060002313038,11120
1946,Staten Island,12,Monday,3.8939393939393936,12310
1947,Staten Island,12,Sunday,3.81066030230708,12450
1948,Staten Island,14,Friday,4.390778227620333,21820
1949,Staten Island,14,Sunday,3.8791423001949314,14870
1950,Staten Island,16,Thursday,4.2914446406066515,19920
1951,Staten Island,18,Monday,3.8322545846817695,13810
1952,Staten Island,18,Thursday,4.001839926402944,17830
1953,Staten Island,21,Monday,3.5624917687343607,7910
1954,Staten Island,22,Friday,3.4829359513791496,13970
1955,Staten Island,23,Saturday,3.294726361435154,12920
1956,Staten Island,23,Sunday,3.2825203252032527,7870
1957,Bronx,2,Tuesday,3.991788321167883,23730
1958,Bronx,5,Monday,3.910178054842521,34240
1959,Bronx,5,Wednesday,3.9868738701247564,35220
1960,Bronx,6,Friday,4.306700218424194,64700
1961,Bronx,6,Saturday,3.753333333333333,43370
1962,Bronx,10,Tuesday,5.158620064372819,109620
1963,Bronx,10,Wednesday,5.209339774557166,111950
1964,Bronx,11,Sunday,4.601194121249234,87800
1965,Bronx,14,Tuesday,5.923913043478262,130890
1966,Bronx,16,Tuesday,6.080094468554439,134660
1967,Bronx,17,Monday,5.837696335078534,126350
1968,Bronx,17,Sunday,5.022404773296481,124960
1969,Bronx,20,Friday,5.170940170940171,153750
1970,Bronx,22,Friday,4.667592862741772,145040
1971,Bronx,22,Tuesday,4.427227448810183,97570
1972,Bronx,23,Friday,4.520160978252457,139420
2102,Brooklyn,0,Monday,4.6713640908021645,162120
2103,Brooklyn,1,Friday,4.57044673539519,122590
2104,Brooklyn,1,Thursday,4.499432892969015,94420
2105,Brooklyn,1,Wednesday,4.478509167418094,83170
2106,Brooklyn,2,Saturday,4.5621773657811175,166180
2107,Brooklyn,5,Saturday,4.282560706401766,65510
2108,Brooklyn,5,Wednesday,4.370431996055956,56520
2109,Brooklyn,7,Tuesday,5.656779661016949,188250
2110,Brooklyn,8,Monday,6.010834858106412,226260
2111,Brooklyn,8,Saturday,4.808126410835215,152750
2112,Brooklyn,8,Sunday,4.653846153846153,127710
2113,Brooklyn,9,Monday,5.86080586080586,224450
